Year,Month,Season,district_c,Unnamed: 0,Arrivals,Present
2013,9.0,Autumn,2,4353525,167523,952510
2013,9.0,Autumn,3,2158729,63486,277636
2013,9.0,Autumn,4,4523525,134774,649775
2013,9.0,Autumn,5,2281917,86367,457466
2013,9.0,Autumn,6,3055218,65308,300343
2013,9.0,Autumn,7,2275935,55038,227705
2013,9.0,Autumn,8,1048044,29865,100373
2013,10.0,Autumn,1,177405,24635,54509
2013,10.0,Autumn,2,4304657,144132,770396
2013,10.0,Autumn,3,2148774,53653,205372
2013,10.0,Autumn,4,4598207,59731,237414
2013,10.0,Autumn,5,2334447,50336,223165
2013,10.0,Autumn,6,3096688,49405,206920
2013,10.0,Autumn,7,2268723,34856,144255
2013,10.0,Autumn,8,1042756,22572,75069
2013,11.0,Autumn,1,181377,17612,35890
2013,11.0,Autumn,2,4121426,41498,138700
2013,11.0,Autumn,3,2011932,17584,45433
2013,11.0,Autumn,4,3933737,21475,62209
2013,11.0,Autumn,5,2291990,12605,40460
2013,11.0,Autumn,6,2829488,13464,42348
2013,11.0,Autumn,7,2256427,11615,41950
2013,11.0,Autumn,8,974048,11499,29797
2013,12.0,Winter,1,185073,28376,57609
2013,12.0,Winter,2,4112207,65835,197288
2013,12.0,Winter,3,2271197,52437,174442
2013,12.0,Winter,4,4730935,189543,794938
2013,12.0,Winter,5,2401884,95691,413775
2013,12.0,Winter,6,2793263,19895,55462
2013,12.0,Winter,7,2334027,26585,113055
2013,12.0,Winter,8,1118052,34884,113413
2014,1.0,Winter,1,188919,16173,30577
2014,1.0,Winter,2,4164382,27906,122295
2014,1.0,Winter,3,2318114,46386,214677
2014,1.0,Winter,4,4860472,211941,1144068
2014,1.0,Winter,5,2451376,107418,646614
2014,1.0,Winter,6,2914265,10080,37354
2014,1.0,Winter,7,2382431,25770,143461
2014,1.0,Winter,8,1109640,32093,130183
2014,2.0,Winter,1,192747,11726,20562
2014,2.0,Winter,2,3826220,21865,84276
2014,2.0,Winter,3,2331402,50694,224610
2014,2.0,Winter,4,5053788,214223,1110397
2014,2.0,Winter,5,2402729,121075,671686
2014,2.0,Winter,6,2779233,7681,31002
2014,2.0,Winter,7,2397484,32387,165313
2014,2.0,Winter,8,1163910,32137,126058
2014,3.0,Spring,1,196491,15341,27195
2014,3.0,Spring,2,4330409,37270,141641
2014,3.0,Spring,3,2343854,46525,193294
2014,3.0,Spring,4,5152782,200336,990595
2014,3.0,Spring,5,2515678,114871,610339
2014,3.0,Spring,6,3032165,13788,46687
2014,3.0,Spring,7,2543108,37925,185484
2014,3.0,Spring,8,1186638,32614,122222
2014,4.0,Spring,1,200373,20653,43087
2014,4.0,Spring,2,4720235,118798,553312
2014,4.0,Spring,3,2424078,27957,96459
2014,4.0,Spring,4,5153730,42545,181699
2014,4.0,Spring,5,2598982,18120,73401
2014,4.0,Spring,6,3394542,39045,147997
2014,4.0,Spring,7,2627085,35236,160225
2014,4.0,Spring,8,1210152,19390,58007
2014,5.0,Spring,1,204363,24772,52148
2014,5.0,Spring,2,4986470,121990,597088
2014,5.0,Spring,3,2506677,35531,122073
2014,5.0,Spring,4,5187306,43907,125860
2014,5.0,Spring,5,2685087,29015,100579
2014,5.0,Spring,6,3666760,46987,178690
2014,5.0,Spring,7,2644674,26120,85395
2014,5.0,Spring,8,1234194,18229,45207
2014,6.0,Summer,1,208407,24934,50675
2014,6.0,Summer,2,5084394,142539,755040
2014,6.0,Summer,3,2555899,57832,228161
2014,6.0,Summer,4,5359215,115654,468280
2014,6.0,Summer,5,2737719,81663,358502
2014,6.0,Summer,6,3738627,56442,243500
2014,6.0,Summer,7,2731809,44405,161581
2014,6.0,Summer,8,1258464,24794,76712
2014,7.0,Summer,1,212463,31302,60351
2014,7.0,Summer,2,5290246,147193,850680
2014,7.0,Summer,3,2605397,68466,335290
2014,7.0,Summer,4,5570232,215398,1197891
2014,7.0,Summer,5,2790717,106507,634878
2014,7.0,Summer,6,3811109,58580,285793
2014,7.0,Summer,7,2784705,61976,277165
2014,7.0,Summer,8,1282872,37163,137908
2014,8.0,Summer,1,216555,33865,70890
2014,8.0,Summer,2,5390944,206699,1143658
2014,8.0,Summer,3,2655219,89507,456149
2014,8.0,Summer,4,5676708,271216,1655076
2014,8.0,Summer,5,2843925,145948,897887
2014,8.0,Summer,6,3884141,78759,391960
2014,8.0,Summer,7,2837937,83971,401689
2014,8.0,Summer,8,1307436,47358,202566
2014,9.0,Autumn,1,220635,30881,62210
2014,9.0,Autumn,2,5491412,160858,930342
2014,9.0,Autumn,3,2704797,62209,282314
2014,9.0,Autumn,4,5745515,129389,637854
2014,9.0,Autumn,5,2896863,83804,461552
2014,9.0,Autumn,6,3846362,64496,299492
2014,9.0,Autumn,7,2890905,51558,223118
2014,9.0,Autumn,8,1331886,30909,98855
2014,10.0,Autumn,1,224697,26254,53841
2014,10.0,Autumn,2,5515663,151469,757649
2014,10.0,Autumn,3,2716122,56964,206550
2014,10.0,Autumn,4,5736570,70962,263212
2014,10.0,Autumn,5,2911595,57311,239348
2014,10.0,Autumn,6,3879265,51646,204003
2014,10.0,Autumn,7,2943411,35779,141284
2014,10.0,Autumn,8,1356132,25930,79443
2014,11.0,Autumn,1,228693,20230,37284
2014,11.0,Autumn,2,5185161,41691,118489
2014,11.0,Autumn,3,2570144,15922,36302
2014,11.0,Autumn,4,4951549,19604,53136
2014,11.0,Autumn,5,2806307,12381,34977
2014,11.0,Autumn,6,3524972,13887,37484
2014,11.0,Autumn,7,2878199,11427,37158
2014,11.0,Autumn,8,1264640,11970,28061
2014,12.0,Winter,1,232371,28967,54777
2014,12.0,Winter,2,5388102,75634,215566
2014,12.0,Winter,3,2846713,53048,175522
2014,12.0,Winter,4,5929456,186385,758487
2014,12.0,Winter,5,3009188,99458,418517
2014,12.0,Winter,6,3620932,24015,61665
2014,12.0,Winter,7,2925539,31786,129019
2014,12.0,Winter,8,1401924,36574,116279
2015,1.0,Winter,1,236277,16268,31630
2015,1.0,Winter,2,5357733,30501,130720
2015,1.0,Winter,3,2893952,48733,214264
2015,1.0,Winter,4,6107349,230312,1160334
2015,1.0,Winter,5,3019471,117686,646810
2015,1.0,Winter,6,3601105,11031,43201
2015,1.0,Winter,7,2934613,30849,155484
2015,1.0,Winter,8,1346379,32332,124613
2015,2.0,Winter,1,240135,12434,22128
2015,2.0,Winter,2,4838913,27827,111849
2015,2.0,Winter,3,2981171,55136,250169
2015,2.0,Winter,4,6286290,241553,1258238
2015,2.0,Winter,5,3068046,127893,717251
2015,2.0,Winter,6,3619450,9005,36088
2015,2.0,Winter,7,3102609,37893,200816
2015,2.0,Winter,8,1408197,34965,141256
2015,3.0,Spring,1,243927,17826,31935
2015,3.0,Spring,2,5407026,45293,165692
2015,3.0,Spring,3,2946670,37485,152279
2015,3.0,Spring,4,6344892,163114,835414
2015,3.0,Spring,5,3116386,94607,524657
2015,3.0,Spring,6,3840739,15301,52437
2015,3.0,Spring,7,2988378,37157,177891
2015,3.0,Spring,8,1471224,28740,104821
2015,4.0,Spring,1,247797,21064,44897
2015,4.0,Spring,2,5910293,118484,548691
2015,4.0,Spring,3,2993238,24916,89994
2015,4.0,Spring,4,6237511,48500,238103
2015,4.0,Spring,5,3207837,25931,133778
2015,4.0,Spring,6,4151400,38450,146428
2015,4.0,Spring,7,3243603,29680,138169
2015,4.0,Spring,8,1494684,18331,58227
2015,5.0,Spring,1,251787,26274,57394
2015,5.0,Spring,2,6089900,152248,698831
2015,5.0,Spring,3,3083589,43849,145462
2015,5.0,Spring,4,6464986,59196,178214
2015,5.0,Spring,5,3301503,37205,129964
2015,5.0,Spring,6,4385562,56500,211297
2015,5.0,Spring,7,3295641,31332,105223
2015,5.0,Spring,8,1518696,22759,58467
2015,6.0,Summer,1,255819,26196,51239
2015,6.0,Summer,2,6272738,134568,739783
2015,6.0,Summer,3,3132610,52622,213758
2015,6.0,Summer,4,6567906,114399,467856
2015,6.0,Summer,5,3353913,75538,341605
2015,6.0,Summer,6,4498472,51921,224623
2015,6.0,Summer,7,3304876,41761,152359
2015,6.0,Summer,8,1500172,24833,77694
2015,7.0,Summer,1,259857,31871,62644
2015,7.0,Summer,2,6415297,158889,895526
2015,7.0,Summer,3,3181950,75626,352861
2015,7.0,Summer,4,6802314,258378,1331626
2015,7.0,Summer,5,3406719,123003,691798
2015,7.0,Summer,6,4612912,60777,283104
2015,7.0,Summer,7,3400737,70768,294593
2015,7.0,Summer,8,1567194,44239,152543
2015,8.0,Summer,1,263931,33966,70896
2015,8.0,Summer,2,6559348,211525,1139978
2015,8.0,Summer,3,3231535,97795,476338
2015,8.0,Summer,4,6863941,312314,1778025
2015,8.0,Summer,5,3459687,159485,936665
2015,8.0,Summer,6,4640959,79085,375361
2015,8.0,Summer,7,3453717,91611,409845
2015,8.0,Summer,8,1591644,51688,210462
2015,9.0,Autumn,1,268005,30715,63556
2015,9.0,Autumn,2,6659840,168609,949735
2015,9.0,Autumn,3,3281102,66801,296516
2015,9.0,Autumn,4,6969186,142450,684797
2015,9.0,Autumn,5,3512649,89231,474252
2015,9.0,Autumn,6,4712254,66403,300849
2015,9.0,Autumn,7,3506679,54037,228640
2015,9.0,Autumn,8,1616088,34026,105634
2015,10.0,Autumn,1,272073,26244,55335
2015,10.0,Autumn,2,6576877,150688,742825
2015,10.0,Autumn,3,3330342,58190,205483
2015,10.0,Autumn,4,7028079,64339,241344
2015,10.0,Autumn,5,3519588,49959,209527
2015,10.0,Autumn,6,4646429,51252,199755
2015,10.0,Autumn,7,3559323,34462,136655
2015,10.0,Autumn,8,1640394,25762,75119
2015,11.0,Autumn,1,276057,19926,37404
2015,11.0,Autumn,2,6204471,53566,182710
2015,11.0,Autumn,3,2961056,20823,55454
2015,11.0,Autumn,4,6154437,22697,61760
2015,11.0,Autumn,5,3382548,15986,46977
2015,11.0,Autumn,6,4112044,16645,52547
2015,11.0,Autumn,7,3377966,14991,52152
2015,11.0,Autumn,8,1617311,15344,38621
2015,12.0,Winter,1,279735,29601,57493
2015,12.0,Winter,2,6476608,81448,232398
2015,12.0,Winter,3,3281855,57131,179956
2015,12.0,Winter,4,7175983,198214,784039
