Year,district_c,Nationality,Arrivals,Present
2020,7,Germany,170061,796957
2020,7,Italy,123716,490950
2020,7,Other countries,19209,104491
2020,7,Switzerland and Liechtenstein,34015,131396
2020,8,Austria,7947,20096
2020,8,Benelux countries,7429,20767
2020,8,Germany,117061,401457
2020,8,Italy,102044,395669
2020,8,Other countries,10258,42478
2020,8,Switzerland and Liechtenstein,6827,30622
