Year,Category,district_c,Arrivals,Present
2013,Private Lodging,3,16154,94090
2013,Private Lodging,4,126916,853656
2013,Private Lodging,5,84886,582418
2013,Private Lodging,6,15152,110197
2013,Private Lodging,7,17896,111695
2013,Private Lodging,8,6485,37862
2013,Residence,1,236,1609
2013,Residence,2,94812,672035
2013,Residence,3,18344,152961
2013,Residence,4,158144,1033138
2013,Residence,5,70069,479662
2013,Residence,6,11823,113610
2013,Residence,7,47688,292618
2013,Residence,8,8170,61321
2014,1-2 Star Hotel,6,586292,2494954
2014,3 Star Hotel,6,2282643,9476392
2014,4-5 Star Hotel,6,1722398,7647917
2014,Agricaltural Lodging,6,352746,2292824
2014,Campings,6,271707,1303190
2014,Other,6,171810,448232
2014,Private Lodging,6,329013,2067585
2014,Residence,6,425480,2706795
2015,1-2 Star Hotel,1,16046,34425
2015,1-2 Star Hotel,2,91245,399058
2015,1-2 Star Hotel,3,75769,333799
2015,1-2 Star Hotel,4,206838,970001
2015,1-2 Star Hotel,5,64808,283167
2015,1-2 Star Hotel,6,42796,154775
2015,1-2 Star Hotel,7,54045,185845
2015,1-2 Star Hotel,8,56649,141458
2015,3 Star Hotel,1,102122,191249
2015,3 Star Hotel,2,476909,2147405
2015,3 Star Hotel,3,258266,999648
2015,3 Star Hotel,4,611079,2714619
2015,3 Star Hotel,5,366989,1748137
2015,3 Star Hotel,6,238156,767406
2015,3 Star Hotel,7,194205,775419
2015,3 Star Hotel,8,143214,414316
2015,4-5 Star Hotel,1,133066,244067
2015,4-5 Star Hotel,2,451221,2152098
2015,4-5 Star Hotel,3,166000,673561
2015,4-5 Star Hotel,4,454857,2101145
2015,4-5 Star Hotel,5,339196,1698441
2015,4-5 Star Hotel,6,81638,354569
2015,4-5 Star Hotel,7,93386,409978
2015,4-5 Star Hotel,8,124276,482123
2015,Agricaltural Lodging,1,2749,13193
2015,Agricaltural Lodging,2,66983,452931
2015,Agricaltural Lodging,3,46419,282152
2015,Agricaltural Lodging,4,114441,735797
2015,Agricaltural Lodging,5,54240,345506
2015,Agricaltural Lodging,6,50705,329998
2015,Agricaltural Lodging,7,27349,160478
2015,Agricaltural Lodging,8,10032,58650
2015,Campings,1,10849,39263
2015,Campings,2,71172,386801
2015,Campings,3,16761,30565
2015,Campings,4,93625,440112
2015,Campings,5,17698,89786
2015,Campings,6,37492,166704
2015,Campings,7,47561,208095
2015,Campings,8,10136,27484
2015,Other,1,13344,24489
2015,Other,2,22260,54048
2015,Other,3,36494,92923
2015,Other,4,62767,162457
2015,Other,5,10104,38181
2015,Other,6,3223,10508
2015,Other,7,17507,28578
2015,Other,8,8116,40154
2015,Private Lodging,1,12147,33929
2015,Private Lodging,2,52787,305740
2015,Private Lodging,3,17323,90206
2015,Private Lodging,4,138591,851925
2015,Private Lodging,5,90760,588172
2015,Private Lodging,6,16069,106685
2015,Private Lodging,7,19077,108429
2015,Private Lodging,8,7052,34547
2015,Residence,1,2062,5936
2015,Residence,2,101069,640657
2015,Residence,3,22075,129680
2015,Residence,4,173268,1043694
2015,Residence,5,73738,474741
2015,Residence,6,13171,103029
2015,Residence,7,51548,300067
2015,Residence,8,10409,62246
2016,1-2 Star Hotel,6,637823,2567866
2016,3 Star Hotel,6,2558056,10313985
2016,4-5 Star Hotel,6,1982723,8735111
2016,Agricaltural Lodging,6,414501,2565215
2016,Campings,6,337026,1507672
2016,Other,6,191121,484539
2016,Private Lodging,6,395255,2261020
2016,Residence,6,485559,2917187
2017,1-2 Star Hotel,6,662126,2646159
2017,3 Star Hotel,6,2636941,10550749
2017,4-5 Star Hotel,6,2047681,8962743
2017,Agricaltural Lodging,6,446253,2721027
2017,Campings,6,368631,1630473
2017,Other,6,201049,520040
2017,Private Lodging,6,426748,2376088
2017,Residence,6,512935,3032824
2018,1-2 Star Hotel,1,21462,53762
2018,1-2 Star Hotel,2,99529,411284
2018,1-2 Star Hotel,3,80589,345389
2018,1-2 Star Hotel,4,234499,1064562
2018,1-2 Star Hotel,5,69433,290025
2018,1-2 Star Hotel,6,49824,178868
2018,1-2 Star Hotel,7,53677,180795
2018,1-2 Star Hotel,8,57660,151344
2018,3 Star Hotel,1,107542,199418
2018,3 Star Hotel,2,501788,2222095
2018,3 Star Hotel,3,294654,1098319
2018,3 Star Hotel,4,720746,3083580
2018,3 Star Hotel,5,404038,1889083
2018,3 Star Hotel,6,269671,879173
2018,3 Star Hotel,7,222337,864161
2018,3 Star Hotel,8,161407,453867
2018,4-5 Star Hotel,1,145834,264479
2018,4-5 Star Hotel,2,517797,2429958
2018,4-5 Star Hotel,3,205618,817150
2018,4-5 Star Hotel,4,516327,2344189
2018,4-5 Star Hotel,5,394709,1942728
2018,4-5 Star Hotel,6,92855,411029
2018,4-5 Star Hotel,7,101006,438940
2018,4-5 Star Hotel,8,146790,588557
2018,Agricaltural Lodging,1,4154,17331
2018,Agricaltural Lodging,2,83351,547357
2018,Agricaltural Lodging,3,60191,353001
2018,Agricaltural Lodging,4,152189,926953
2018,Agricaltural Lodging,5,65859,414376
2018,Agricaltural Lodging,6,57341,374304
2018,Agricaltural Lodging,7,31567,184369
2018,Agricaltural Lodging,8,15582,77804
2018,Campings,1,10570,40206
2018,Campings,2,98689,471443
2018,Campings,3,16975,31240
2018,Campings,4,114326,510905
2018,Campings,5,22976,105457
2018,Campings,6,47011,198120
2018,Campings,7,58452,256514
2018,Campings,8,10129,22709
2018,Other,1,14799,27901
2018,Other,2,31522,87235
2018,Other,3,41773,103318
2018,Other,4,70153,161969
2018,Other,5,16324,54880
2018,Other,6,5834,15745
2018,Other,7,20318,33163
2018,Other,8,8972,46383
2018,Private Lodging,1,32199,81262
2018,Private Lodging,2,71405,360591
2018,Private Lodging,3,25232,121678
2018,Private Lodging,4,169627,1018566
2018,Private Lodging,5,108293,682551
2018,Private Lodging,6,21114,128434
2018,Private Lodging,7,21775,115736
2018,Private Lodging,8,7586,42519
2018,Residence,1,1315,9052
2018,Residence,2,115033,698853
2018,Residence,3,27880,160917
2018,Residence,4,200969,1161168
2018,Residence,5,95474,539074
2018,Residence,6,17077,123356
2018,Residence,7,61807,342260
2018,Residence,8,14151,77815
2019,1-2 Star Hotel,1,22813,80799
2019,1-2 Star Hotel,2,93674,378232
2019,1-2 Star Hotel,3,82685,353418
2019,1-2 Star Hotel,4,238730,1051203
2019,1-2 Star Hotel,5,66826,284270
2019,1-2 Star Hotel,6,51231,179755
