Year,Month,District,Nationality,Arrivals,Present
2010,4.0,Val Venosta,Other countries,2000,10734
2010,4.0,Val Venosta,Switzerland and Liechtenstein,3305,11810
2010,4.0,Valle Isarco,Austria,1349,3077
2010,4.0,Valle Isarco,Benelux countries,572,1818
2010,4.0,Valle Isarco,Germany,11871,50044
2010,4.0,Valle Isarco,Italy,7896,26933
2010,4.0,Valle Isarco,Other countries,946,4387
2010,4.0,Valle Isarco,Switzerland and Liechtenstein,734,2372
2010,5.0,Alta Valle Isarco,Austria,877,1982
2010,5.0,Alta Valle Isarco,Benelux countries,605,2118
2010,5.0,Alta Valle Isarco,Germany,9999,31480
2010,5.0,Alta Valle Isarco,Italy,4333,12841
2010,5.0,Alta Valle Isarco,Other countries,855,2189
2010,5.0,Alta Valle Isarco,Switzerland and Liechtenstein,310,1022
2010,5.0,Bolzano,Austria,2370,4361
2010,5.0,Bolzano,Benelux countries,610,1093
2010,5.0,Bolzano,Germany,8127,18774
2010,5.0,Bolzano,Italy,7583,17172
2010,5.0,Bolzano,Other countries,3063,6831
2010,5.0,Bolzano,Switzerland and Liechtenstein,1136,2621
2010,5.0,Burggrafenamt,Austria,8651,28601
2010,5.0,Burggrafenamt,Benelux countries,1722,10658
2010,5.0,Burggrafenamt,Germany,95647,506270
2010,5.0,Burggrafenamt,Italy,11579,40285
2010,5.0,Burggrafenamt,Other countries,2578,16291
2010,5.0,Burggrafenamt,Switzerland and Liechtenstein,16418,78220
2010,5.0,Oltradige-Bassa Ates.,Austria,4945,14444
2010,5.0,Oltradige-Bassa Ates.,Benelux countries,890,3711
2010,5.0,Oltradige-Bassa Ates.,Germany,34158,140874
2010,5.0,Oltradige-Bassa Ates.,Italy,5645,18590
2010,5.0,Oltradige-Bassa Ates.,Other countries,1836,9358
2010,5.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,3646,15561
2010,5.0,Salto-Schiliar,Austria,1589,5274
2010,5.0,Salto-Schiliar,Benelux countries,545,2366
2010,5.0,Salto-Schiliar,Germany,17566,75962
2010,5.0,Salto-Schiliar,Italy,6216,19393
2010,5.0,Salto-Schiliar,Other countries,1470,5129
2010,5.0,Salto-Schiliar,Switzerland and Liechtenstein,1234,4674
2010,5.0,Val Pusteria,Austria,2366,6449
2010,5.0,Val Pusteria,Benelux countries,1254,5699
2010,5.0,Val Pusteria,Germany,19330,78963
2010,5.0,Val Pusteria,Italy,16938,44931
2010,5.0,Val Pusteria,Other countries,2269,8261
2010,5.0,Val Pusteria,Switzerland and Liechtenstein,1340,4475
2010,5.0,Val Venosta,Austria,1685,4593
2010,5.0,Val Venosta,Benelux countries,929,2808
2010,5.0,Val Venosta,Germany,14618,58997
2010,5.0,Val Venosta,Italy,3119,10067
2010,5.0,Val Venosta,Other countries,521,2512
2010,5.0,Val Venosta,Switzerland and Liechtenstein,3624,13420
2010,5.0,Valle Isarco,Austria,2363,5872
2010,5.0,Valle Isarco,Benelux countries,905,3188
2010,5.0,Valle Isarco,Germany,23268,90224
2010,5.0,Valle Isarco,Italy,6991,22666
2010,5.0,Valle Isarco,Other countries,1937,7933
2010,5.0,Valle Isarco,Switzerland and Liechtenstein,1424,5080
2010,6.0,Alta Valle Isarco,Austria,951,2629
2010,6.0,Alta Valle Isarco,Benelux countries,710,2739
2010,6.0,Alta Valle Isarco,Germany,9247,35877
2010,6.0,Alta Valle Isarco,Italy,4882,18898
2010,6.0,Alta Valle Isarco,Other countries,1289,3152
2010,6.0,Alta Valle Isarco,Switzerland and Liechtenstein,375,2171
2010,6.0,Bolzano,Austria,2090,4373
2010,6.0,Bolzano,Benelux countries,734,1538
2010,6.0,Bolzano,Germany,6421,14306
2010,6.0,Bolzano,Italy,6650,14696
2010,6.0,Bolzano,Other countries,4537,10017
2010,6.0,Bolzano,Switzerland and Liechtenstein,890,1977
2010,6.0,Burggrafenamt,Austria,7588,25283
2010,6.0,Burggrafenamt,Benelux countries,2923,18870
2010,6.0,Burggrafenamt,Germany,78183,528252
2010,6.0,Burggrafenamt,Italy,13456,52009
2010,6.0,Burggrafenamt,Other countries,3736,19888
2010,6.0,Burggrafenamt,Switzerland and Liechtenstein,10755,56991
2010,6.0,Oltradige-Bassa Ates.,Austria,5466,16804
2010,6.0,Oltradige-Bassa Ates.,Benelux countries,1425,7385
