Year,Month,Nationality,Arrivals,Present
2012,11.0,Andere Länder,8269,38774
2012,11.0,Beneluxstaaten,721,2348
2012,11.0,Deutschland,37133,152583
2012,11.0,Italien,82782,207145
2012,11.0,Schweiz und Liechtenstein,6712,23180
2012,11.0,Österreich,12194,29676
2012,12.0,Andere Länder,40187,186408
2012,12.0,Beneluxstaaten,9337,50263
2012,12.0,Deutschland,115776,529250
2012,12.0,Italien,318954,1047495
2012,12.0,Schweiz und Liechtenstein,9266,34286
2012,12.0,Österreich,8061,23173
2013,1.0,Andere Länder,70530,452518
2013,1.0,Beneluxstaaten,11230,72754
2013,1.0,Deutschland,156463,941753
2013,1.0,Italien,200502,928577
2013,1.0,Schweiz und Liechtenstein,8574,46560
2013,1.0,Österreich,8886,34860
2013,2.0,Andere Länder,70779,419139
2013,2.0,Beneluxstaaten,29943,182950
2013,2.0,Deutschland,213838,1185907
2013,2.0,Italien,184033,770910
2013,2.0,Schweiz und Liechtenstein,11917,66212
2013,2.0,Österreich,14952,68047
2013,3.0,Andere Länder,53079,300849
2013,3.0,Beneluxstaaten,15848,77735
2013,3.0,Deutschland,246539,1237682
2013,3.0,Italien,159352,612377
2013,3.0,Schweiz und Liechtenstein,15063,62490
2013,3.0,Österreich,16910,62392
2013,4.0,Andere Länder,11873,57316
2013,4.0,Beneluxstaaten,4518,37165
2013,4.0,Deutschland,113126,584567
2013,4.0,Italien,54826,173016
2013,4.0,Schweiz und Liechtenstein,28599,125506
2013,4.0,Österreich,16546,43742
2013,5.0,Andere Länder,18206,66364
2013,5.0,Beneluxstaaten,6790,26796
2013,5.0,Deutschland,254742,1202246
2013,5.0,Italien,48259,130215
2013,5.0,Schweiz und Liechtenstein,34877,150390
2013,5.0,Österreich,29431,79945
2013,6.0,Andere Länder,39409,132565
2013,6.0,Beneluxstaaten,20113,89481
2013,6.0,Deutschland,257560,1276910
2013,6.0,Italien,117557,376195
2013,6.0,Schweiz und Liechtenstein,30465,132426
2013,6.0,Österreich,26141,81364
2013,7.0,Andere Länder,61022,226317
2013,7.0,Beneluxstaaten,48030,251996
2013,7.0,Deutschland,293548,1707060
2013,7.0,Italien,272061,1503508
2013,7.0,Schweiz und Liechtenstein,44870,218018
2013,7.0,Österreich,31584,104053
2013,8.0,Andere Länder,41372,160010
2013,8.0,Beneluxstaaten,24662,141258
2013,8.0,Deutschland,351489,1943851
2013,8.0,Italien,479407,2953856
2013,8.0,Schweiz und Liechtenstein,27652,121954
2013,8.0,Österreich,31681,99609
2013,9.0,Andere Länder,35006,125752
2013,9.0,Beneluxstaaten,11740,60537
2013,9.0,Deutschland,384474,2065438
2013,9.0,Italien,118397,468726
2013,9.0,Schweiz und Liechtenstein,44762,187019
2013,9.0,Österreich,38458,122864
2013,10.0,Andere Länder,15181,72105
2013,10.0,Beneluxstaaten,2751,13913
2013,10.0,Deutschland,276417,1363348
2013,10.0,Italien,69164,182025
2013,10.0,Schweiz und Liechtenstein,39674,188938
2013,10.0,Österreich,36133,96771
2013,11.0,Andere Länder,7353,38322
2013,11.0,Beneluxstaaten,751,2249
2013,11.0,Deutschland,30558,127012
2013,11.0,Italien,90126,217209
2013,11.0,Schweiz und Liechtenstein,6369,23045
2013,11.0,Österreich,12195,28950
2013,12.0,Andere Länder,43757,205137
2013,12.0,Beneluxstaaten,10453,56943
2013,12.0,Deutschland,124048,566092
2013,12.0,Italien,316203,1031529
2013,12.0,Schweiz und Liechtenstein,10008,36410
2013,12.0,Österreich,8777,23871
2014,1.0,Andere Länder,71927,464293
2014,1.0,Beneluxstaaten,10794,67772
2014,1.0,Deutschland,165648,949943
2014,1.0,Italien,210354,900743
2014,1.0,Schweiz und Liechtenstein,8840,49218
2014,1.0,Österreich,10204,37260
2014,2.0,Andere Länder,83145,491048
2014,2.0,Beneluxstaaten,22801,130323
2014,2.0,Deutschland,190927,1014142
2014,2.0,Italien,165736,658085
2014,2.0,Schweiz und Liechtenstein,11727,63001
2014,2.0,Österreich,17452,77305
2014,3.0,Andere Länder,56228,305894
2014,3.0,Beneluxstaaten,21750,132806
2014,3.0,Deutschland,229800,1158833
2014,3.0,Italien,161464,606947
2014,3.0,Schweiz und Liechtenstein,12048,54774
2014,3.0,Österreich,17380,58203
2014,4.0,Andere Länder,14055,58156
2014,4.0,Beneluxstaaten,6966,35840
2014,4.0,Deutschland,183627,862875
2014,4.0,Italien,65181,173269
2014,4.0,Schweiz und Liechtenstein,31984,129732
2014,4.0,Österreich,19931,54315
2014,5.0,Andere Länder,18510,65031
2014,5.0,Beneluxstaaten,6781,23891
2014,5.0,Deutschland,191297,843634
2014,5.0,Italien,67428,152468
2014,5.0,Schweiz und Liechtenstein,35201,144663
2014,5.0,Österreich,27334,77353
2014,6.0,Andere Länder,38308,120957
2014,6.0,Beneluxstaaten,17770,77816
2014,6.0,Deutschland,320152,1567041
2014,6.0,Italien,108544,352705
2014,6.0,Schweiz und Liechtenstein,32297,133716
2014,6.0,Österreich,31192,90216
2014,7.0,Andere Länder,65319,226316
2014,7.0,Beneluxstaaten,47056,237819
2014,7.0,Deutschland,275611,1541720
2014,7.0,Italien,263667,1453393
2014,7.0,Schweiz und Liechtenstein,45124,219521
2014,7.0,Österreich,29808,101187
2014,8.0,Andere Länder,46330,158887
2014,8.0,Beneluxstaaten,27423,143967
2014,8.0,Deutschland,392996,2054690
2014,8.0,Italien,428089,2638827
2014,8.0,Schweiz und Liechtenstein,29482,121567
2014,8.0,Österreich,33003,101937
2014,9.0,Andere Länder,37247,123758
2014,9.0,Beneluxstaaten,11408,55721
2014,9.0,Deutschland,376056,2094641
2014,9.0,Italien,108254,421389
2014,9.0,Schweiz und Liechtenstein,42898,179406
2014,9.0,Österreich,38241,120822
2014,10.0,Andere Länder,17922,69191
2014,10.0,Beneluxstaaten,2799,14307
2014,10.0,Deutschland,294358,1378792
2014,10.0,Italien,78908,187235
2014,10.0,Schweiz und Liechtenstein,42283,190466
2014,10.0,Österreich,40045,105339
2014,11.0,Andere Länder,10271,41636
2014,11.0,Beneluxstaaten,785,2473
2014,11.0,Deutschland,28025,98729
2014,11.0,Italien,89636,192214
2014,11.0,Schweiz und Liechtenstein,6333,21576
2014,11.0,Österreich,12062,26263
2014,12.0,Andere Länder,39000,183777
2014,12.0,Beneluxstaaten,10572,59929
2014,12.0,Deutschland,122679,580068
2014,12.0,Italien,343613,1040740
2014,12.0,Schweiz und Liechtenstein,10865,40423
2014,12.0,Österreich,9138,24895
2015,1.0,Andere Länder,80255,470493
2015,1.0,Beneluxstaaten,12505,69641
2015,1.0,Deutschland,180733,952577
2015,1.0,Italien,222428,923928
2015,1.0,Schweiz und Liechtenstein,10450,53847
2015,1.0,Österreich,11341,36570
2015,2.0,Andere Länder,77305,440696
2015,2.0,Beneluxstaaten,33823,203091
2015,2.0,Deutschland,217955,1226757
2015,2.0,Italien,190597,725390
2015,2.0,Schweiz und Liechtenstein,13286,74724
2015,2.0,Österreich,13740,67137
2015,3.0,Andere Länder,50838,309152
2015,3.0,Beneluxstaaten,11808,73174
2015,3.0,Deutschland,205247,1006135
2015,3.0,Italien,139897,535600
2015,3.0,Schweiz und Liechtenstein,12490,55923
2015,3.0,Österreich,19243,65142
2015,4.0,Andere Länder,15961,67136
2015,4.0,Beneluxstaaten,7975,43652
2015,4.0,Deutschland,166227,863270
2015,4.0,Italien,80998,224549
2015,4.0,Schweiz und Liechtenstein,35506,148079
2015,4.0,Österreich,18689,51601
2015,5.0,Andere Länder,20228,63608
2015,5.0,Beneluxstaaten,7471,26207
2015,5.0,Deutschland,256787,1076986
2015,5.0,Italien,77452,183931
2015,5.0,Schweiz und Liechtenstein,38888,155998
2015,5.0,Österreich,28537,78122
2015,6.0,Andere Länder,44081,131996
2015,6.0,Beneluxstaaten,17235,74727
2015,6.0,Deutschland,284751,1460113
2015,6.0,Italien,111838,372065
2015,6.0,Schweiz und Liechtenstein,33171,140810
2015,6.0,Österreich,30762,89206
2015,7.0,Andere Länder,73985,252731
2015,7.0,Beneluxstaaten,48991,234021
2015,7.0,Deutschland,301382,1647708
2015,7.0,Italien,318456,1594380
2015,7.0,Schweiz und Liechtenstein,48458,231700
2015,7.0,Österreich,32279,104155
2015,8.0,Andere Länder,52755,175258
2015,8.0,Beneluxstaaten,26523,138014
2015,8.0,Deutschland,394736,2009581
2015,8.0,Italien,497420,2845883
2015,8.0,Schweiz und Liechtenstein,31173,123589
2015,8.0,Österreich,34862,105245
2015,9.0,Andere Länder,42539,134577
2015,9.0,Beneluxstaaten,12462,57613
2015,9.0,Deutschland,390624,2131460
2015,9.0,Italien,119441,459714
2015,9.0,Schweiz und Liechtenstein,46056,194222
2015,9.0,Österreich,41150,126393
2015,10.0,Andere Länder,18963,72732
2015,10.0,Beneluxstaaten,2864,12949
2015,10.0,Deutschland,267622,1262550
2015,10.0,Italien,80289,192485
2015,10.0,Schweiz und Liechtenstein,45775,205221
2015,10.0,Österreich,45383,120106
2015,11.0,Andere Länder,8702,37800
2015,11.0,Beneluxstaaten,798,3397
2015,11.0,Deutschland,51117,216174
2015,11.0,Italien,97596,213824
2015,11.0,Schweiz und Liechtenstein,7782,25732
2015,11.0,Österreich,13983,30698
2015,12.0,Andere Länder,41596,192654
2015,12.0,Beneluxstaaten,10445,61166
2015,12.0,Deutschland,115167,524983
2015,12.0,Italien,371629,1122989
2015,12.0,Schweiz und Liechtenstein,12056,44386
2015,12.0,Österreich,10392,27122
2016,1.0,Andere Länder,81528,441238
2016,1.0,Beneluxstaaten,13021,69091
2016,1.0,Deutschland,198813,998978
2016,1.0,Italien,244818,1007109
2016,1.0,Schweiz und Liechtenstein,11144,47196
2016,1.0,Österreich,12700,40838
2016,2.0,Andere Länder,85969,507787
2016,2.0,Beneluxstaaten,34229,186775
2016,2.0,Deutschland,217145,1228614
2016,2.0,Italien,204302,768054
2016,2.0,Schweiz und Liechtenstein,15312,90953
2016,2.0,Österreich,13877,65620
2016,3.0,Andere Länder,59236,341196
2016,3.0,Beneluxstaaten,18318,127086
