Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District
2010,12.0,2,Winter,1144.0,306.0,9863.0,47356.0,1507.0,1631.0,61807.0,Burggrafenamt
2010,12.0,3,Winter,832.0,590.0,12292.0,29872.0,2747.0,754.0,47087.0,Eisacktal
2010,12.0,4,Winter,1980.0,3174.0,32866.0,121166.0,17707.0,1127.0,178020.0,Pustertal
2010,12.0,5,Winter,1068.0,3168.0,16984.0,60817.0,8718.0,987.0,91742.0,Salten-Schlern
2010,12.0,6,Winter,430.0,101.0,3210.0,14839.0,663.0,461.0,19704.0,Uberetsch-Unterland
2010,12.0,7,Winter,459.0,750.0,11058.0,8689.0,1705.0,787.0,23448.0,Vinschgau
2010,12.0,8,Winter,345.0,422.0,9743.0,21312.0,686.0,186.0,32694.0,Wipptal
2011,1.0,1,Winter,622.0,277.0,1652.0,10153.0,1708.0,298.0,14710.0,Bozen
2011,1.0,2,Winter,835.0,141.0,7617.0,21876.0,1350.0,865.0,32684.0,Burggrafenamt
2011,1.0,3,Winter,925.0,724.0,24194.0,20601.0,3689.0,683.0,50816.0,Eisacktal
2011,1.0,4,Winter,3594.0,5721.0,74205.0,126164.0,31493.0,1460.0,242637.0,Pustertal
2011,1.0,5,Winter,1594.0,5991.0,33681.0,57074.0,22917.0,1601.0,122858.0,Salten-Schlern
2011,1.0,6,Winter,185.0,215.0,1868.0,6510.0,1302.0,171.0,10251.0,Uberetsch-Unterland
2011,1.0,7,Winter,392.0,802.0,17314.0,7834.0,2732.0,1742.0,30816.0,Vinschgau
2011,1.0,8,Winter,417.0,350.0,18364.0,11695.0,763.0,171.0,31760.0,Wipptal
2011,2.0,1,Winter,836.0,196.0,1842.0,7455.0,1621.0,279.0,12229.0,Bozen
2011,2.0,2,Winter,1582.0,461.0,6628.0,11090.0,1646.0,1395.0,22802.0,Burggrafenamt
2011,2.0,3,Winter,1703.0,1432.0,21254.0,12792.0,7671.0,936.0,45788.0,Eisacktal
2011,2.0,4,Winter,6368.0,6763.0,58119.0,94504.0,32332.0,1458.0,199544.0,Pustertal
2011,2.0,5,Winter,2516.0,8490.0,29418.0,45141.0,22790.0,1490.0,109845.0,Salten-Schlern
2011,2.0,6,Winter,502.0,318.0,3056.0,4203.0,1424.0,298.0,9801.0,Uberetsch-Unterland
2011,2.0,7,Winter,1053.0,2623.0,13744.0,5334.0,3434.0,2548.0,28736.0,Vinschgau
2011,2.0,8,Winter,799.0,1064.0,15363.0,7434.0,1878.0,407.0,26945.0,Wipptal
2011,3.0,1,Spring,964.0,166.0,3364.0,8796.0,2074.0,302.0,15666.0,Bozen
2011,3.0,2,Spring,1904.0,284.0,16031.0,12554.0,1675.0,2229.0,34677.0,Burggrafenamt
2011,3.0,3,Spring,1103.0,1703.0,19998.0,11257.0,4886.0,407.0,39354.0,Eisacktal
2011,3.0,4,Spring,4015.0,10343.0,63723.0,73841.0,18704.0,1348.0,171974.0,Pustertal
2011,3.0,5,Spring,1941.0,6681.0,32543.0,41124.0,13969.0,1332.0,97590.0,Salten-Schlern
2011,3.0,6,Spring,619.0,561.0,4859.0,5092.0,1152.0,371.0,12654.0,Uberetsch-Unterland
2011,3.0,7,Spring,1071.0,1249.0,18687.0,7086.0,2574.0,1921.0,32588.0,Vinschgau
2011,3.0,8,Spring,489.0,744.0,17270.0,6848.0,1371.0,220.0,26942.0,Wipptal
2011,4.0,1,Spring,1747.0,254.0,6975.0,8144.0,2725.0,937.0,20782.0,Bozen
2011,4.0,2,Spring,7482.0,1108.0,80526.0,13346.0,2692.0,15774.0,120928.0,Burggrafenamt
2011,4.0,3,Spring,1725.0,273.0,14085.0,6321.0,1142.0,805.0,24351.0,Eisacktal
2011,4.0,4,Spring,1535.0,3538.0,15844.0,14090.0,1462.0,971.0,37440.0,Pustertal
2011,4.0,5,Spring,734.0,241.0,8258.0,5585.0,744.0,597.0,16159.0,Salten-Schlern
2011,4.0,6,Spring,3564.0,502.0,26111.0,6217.0,1170.0,3244.0,40808.0,Uberetsch-Unterland
2011,4.0,7,Spring,1716.0,905.0,20225.0,6024.0,1780.0,4302.0,34952.0,Vinschgau
2011,4.0,8,Spring,620.0,225.0,8288.0,5234.0,766.0,194.0,15327.0,Wipptal
2011,5.0,1,Spring,1998.0,575.0,5496.0,7848.0,3832.0,1005.0,20754.0,Bozen
