Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Kastelbell-Tschars,Österreich,1,3
2010,1.0,Kastelruth,Andere Länder,3265,19078
2010,1.0,Kastelruth,Beneluxstaaten,983,5545
2010,1.0,Kastelruth,Deutschland,9388,58370
2010,1.0,Kastelruth,Italien,15998,79244
2010,1.0,Kastelruth,Schweiz und Liechtenstein,203,1044
2010,1.0,Kastelruth,Österreich,351,1463
2010,1.0,Kiens,Andere Länder,908,4833
2010,1.0,Kiens,Beneluxstaaten,276,1185
2010,1.0,Kiens,Deutschland,2899,12437
2010,1.0,Kiens,Italien,2237,10089
2010,1.0,Kiens,Schweiz und Liechtenstein,36,100
2010,1.0,Kiens,Österreich,98,225
2010,1.0,Klausen,Andere Länder,103,341
2010,1.0,Klausen,Beneluxstaaten,99,172
2010,1.0,Klausen,Deutschland,781,1857
2010,1.0,Klausen,Italien,1208,3700
2010,1.0,Klausen,Schweiz und Liechtenstein,5,7
2010,1.0,Klausen,Österreich,201,446
2010,1.0,Kuens,Deutschland,0,15
2010,1.0,Kuens,Italien,4,70
2010,1.0,Kuens,Österreich,0,12
2010,1.0,Kurtatsch a.d. Weinstr.,Andere Länder,4,87
2010,1.0,Kurtatsch a.d. Weinstr.,Deutschland,46,262
2010,1.0,Kurtatsch a.d. Weinstr.,Italien,54,123
2010,1.0,Kurtatsch a.d. Weinstr.,Schweiz und Liechtenstein,6,17
2010,1.0,Kurtatsch a.d. Weinstr.,Österreich,18,83
2010,1.0,Kurtinig a.d. Weinstr.,Andere Länder,7,7
2010,1.0,Kurtinig a.d. Weinstr.,Deutschland,29,246
2010,1.0,Kurtinig a.d. Weinstr.,Italien,62,263
2010,1.0,Kurtinig a.d. Weinstr.,Österreich,3,3
2010,1.0,Laas,Andere Länder,9,23
2010,1.0,Laas,Deutschland,11,292
2010,1.0,Laas,Italien,32,204
2010,1.0,Laas,Schweiz und Liechtenstein,2,10
2010,1.0,Laas,Österreich,7,45
2010,1.0,Lajen,Andere Länder,193,995
2010,1.0,Lajen,Beneluxstaaten,91,466
2010,1.0,Lajen,Deutschland,887,3922
2010,1.0,Lajen,Italien,1070,4800
2010,1.0,Lajen,Schweiz und Liechtenstein,6,23
2010,1.0,Lajen,Österreich,234,788
2010,1.0,Lana,Andere Länder,135,1504
2010,1.0,Lana,Beneluxstaaten,33,133
2010,1.0,Lana,Deutschland,372,2011
2010,1.0,Lana,Italien,683,3595
2010,1.0,Lana,Schweiz und Liechtenstein,28,105
2010,1.0,Lana,Österreich,96,184
2010,1.0,Latsch,Andere Länder,121,408
2010,1.0,Latsch,Deutschland,81,963
2010,1.0,Latsch,Italien,260,2296
2010,1.0,Latsch,Schweiz und Liechtenstein,5,40
2010,1.0,Latsch,Österreich,45,144
2010,1.0,Laurein,Deutschland,0,4
2010,1.0,Laurein,Italien,0,2
2010,1.0,Leifers,Andere Länder,99,1288
2010,1.0,Leifers,Beneluxstaaten,59,405
2010,1.0,Leifers,Deutschland,89,722
2010,1.0,Leifers,Italien,1502,4405
2010,1.0,Leifers,Schweiz und Liechtenstein,11,51
2010,1.0,Leifers,Österreich,51,69
2010,1.0,Lüsen,Andere Länder,15,146
2010,1.0,Lüsen,Beneluxstaaten,12,81
2010,1.0,Lüsen,Deutschland,656,3709
2010,1.0,Lüsen,Italien,1473,5999
2010,1.0,Lüsen,Schweiz und Liechtenstein,40,201
2010,1.0,Lüsen,Österreich,62,174
2010,1.0,Mals,Andere Länder,30,164
2010,1.0,Mals,Beneluxstaaten,15,100
