Year,Month,District,Arrivals,Present
2013,7.0,Salto-Schiliar,107459,658065
2013,7.0,Val Pusteria,219067,1238680
2013,7.0,Val Venosta,68975,310266
2013,7.0,Valle Isarco,70392,352483
2013,8.0,Alta Valle Isarco,45077,215708
2013,8.0,Bolzano,29943,65591
2013,8.0,Burggrafenamt,197069,1150322
2013,8.0,Oltradige-Bassa Ates.,76760,391310
2013,8.0,Salto-Schiliar,147997,932493
2013,8.0,Val Pusteria,284591,1770899
2013,8.0,Val Venosta,87485,423399
2013,8.0,Valle Isarco,87341,470816
2013,9.0,Alta Valle Isarco,29865,100373
2013,9.0,Bolzano,30476,64528
2013,9.0,Burggrafenamt,167523,952510
2013,9.0,Oltradige-Bassa Ates.,65308,300343
2013,9.0,Salto-Schiliar,86367,457466
2013,9.0,Val Pusteria,134774,649775
2013,9.0,Val Venosta,55038,227705
2013,9.0,Valle Isarco,63486,277636
2013,10.0,Alta Valle Isarco,22572,75069
2013,10.0,Bolzano,24635,54509
2013,10.0,Burggrafenamt,144132,770396
2013,10.0,Oltradige-Bassa Ates.,49405,206920
2013,10.0,Salto-Schiliar,50336,223165
2013,10.0,Val Pusteria,59731,237414
2013,10.0,Val Venosta,34856,144255
2013,10.0,Valle Isarco,53653,205372
2013,11.0,Alta Valle Isarco,11499,29797
2013,11.0,Bolzano,17612,35890
2013,11.0,Burggrafenamt,41498,138700
2013,11.0,Oltradige-Bassa Ates.,13464,42348
2013,11.0,Salto-Schiliar,12605,40460
2013,11.0,Val Pusteria,21475,62209
2013,11.0,Val Venosta,11615,41950
2013,11.0,Valle Isarco,17584,45433
2013,12.0,Alta Valle Isarco,34884,113413
2013,12.0,Bolzano,28376,57609
2013,12.0,Burggrafenamt,65835,197288
2013,12.0,Oltradige-Bassa Ates.,19895,55462
2013,12.0,Salto-Schiliar,95691,413775
2013,12.0,Val Pusteria,189543,794938
2013,12.0,Val Venosta,26585,113055
2013,12.0,Valle Isarco,52437,174442
2014,1.0,Alta Valle Isarco,32093,130183
2014,1.0,Bolzano,16173,30577
2014,1.0,Burggrafenamt,27906,122295
2014,1.0,Oltradige-Bassa Ates.,10080,37354
2014,1.0,Salto-Schiliar,107418,646614
2014,1.0,Val Pusteria,211941,1144068
2014,1.0,Val Venosta,25770,143461
2014,1.0,Valle Isarco,46386,214677
2014,2.0,Alta Valle Isarco,32137,126058
2014,2.0,Bolzano,11726,20562
2014,2.0,Burggrafenamt,21865,84276
2014,2.0,Oltradige-Bassa Ates.,7681,31002
2014,2.0,Salto-Schiliar,121075,671686
2014,2.0,Val Pusteria,214223,1110397
2014,2.0,Val Venosta,32387,165313
2014,2.0,Valle Isarco,50694,224610
2014,3.0,Alta Valle Isarco,32614,122222
2014,3.0,Bolzano,15341,27195
2014,3.0,Burggrafenamt,37270,141641
2014,3.0,Oltradige-Bassa Ates.,13788,46687
2014,3.0,Salto-Schiliar,114871,610339
2014,3.0,Val Pusteria,200336,990595
2014,3.0,Val Venosta,37925,185484
2014,3.0,Valle Isarco,46525,193294
2014,4.0,Alta Valle Isarco,19390,58007
2014,4.0,Bolzano,20653,43087
2014,4.0,Burggrafenamt,118798,553312
2014,4.0,Oltradige-Bassa Ates.,39045,147997
2014,4.0,Salto-Schiliar,18120,73401
2014,4.0,Val Pusteria,42545,181699
2014,4.0,Val Venosta,35236,160225
2014,4.0,Valle Isarco,27957,96459
2014,5.0,Alta Valle Isarco,18229,45207
2014,5.0,Bolzano,24772,52148
2014,5.0,Burggrafenamt,121990,597088
2014,5.0,Oltradige-Bassa Ates.,46987,178690
2014,5.0,Salto-Schiliar,29015,100579
2014,5.0,Val Pusteria,43907,125860
2014,5.0,Val Venosta,26120,85395
2014,5.0,Valle Isarco,35531,122073
2014,6.0,Alta Valle Isarco,24794,76712
2014,6.0,Bolzano,24934,50675
2014,6.0,Burggrafenamt,142539,755040
2014,6.0,Oltradige-Bassa Ates.,56442,243500
2014,6.0,Salto-Schiliar,81663,358502
2014,6.0,Val Pusteria,115654,468280
2014,6.0,Val Venosta,44405,161581
2014,6.0,Valle Isarco,57832,228161
2014,7.0,Alta Valle Isarco,37163,137908
2014,7.0,Bolzano,31302,60351
2014,7.0,Burggrafenamt,147193,850680
2014,7.0,Oltradige-Bassa Ates.,58580,285793
2014,7.0,Salto-Schiliar,106507,634878
2014,7.0,Val Pusteria,215398,1197891
2014,7.0,Val Venosta,61976,277165
2014,7.0,Valle Isarco,68466,335290
2014,8.0,Alta Valle Isarco,47358,202566
2014,8.0,Bolzano,33865,70890
2014,8.0,Burggrafenamt,206699,1143658
2014,8.0,Oltradige-Bassa Ates.,78759,391960
2014,8.0,Salto-Schiliar,145948,897887
2014,8.0,Val Pusteria,271216,1655076
2014,8.0,Val Venosta,83971,401689
2014,8.0,Valle Isarco,89507,456149
2014,9.0,Alta Valle Isarco,30909,98855
2014,9.0,Bolzano,30881,62210
2014,9.0,Burggrafenamt,160858,930342
2014,9.0,Oltradige-Bassa Ates.,64496,299492
2014,9.0,Salto-Schiliar,83804,461552
2014,9.0,Val Pusteria,129389,637854
2014,9.0,Val Venosta,51558,223118
2014,9.0,Valle Isarco,62209,282314
2014,10.0,Alta Valle Isarco,25930,79443
2014,10.0,Bolzano,26254,53841
2014,10.0,Burggrafenamt,151469,757649
2014,10.0,Oltradige-Bassa Ates.,51646,204003
2014,10.0,Salto-Schiliar,57311,239348
2014,10.0,Val Pusteria,70962,263212
2014,10.0,Val Venosta,35779,141284
2014,10.0,Valle Isarco,56964,206550
2014,11.0,Alta Valle Isarco,11970,28061
2014,11.0,Bolzano,20230,37284
2014,11.0,Burggrafenamt,41691,118489
2014,11.0,Oltradige-Bassa Ates.,13887,37484
2014,11.0,Salto-Schiliar,12381,34977
2014,11.0,Val Pusteria,19604,53136
2014,11.0,Val Venosta,11427,37158
2014,11.0,Valle Isarco,15922,36302
2014,12.0,Alta Valle Isarco,36574,116279
2014,12.0,Bolzano,28967,54777
2014,12.0,Burggrafenamt,75634,215566
2014,12.0,Oltradige-Bassa Ates.,24015,61665
