,Year,Month,District,Category,Arrivals,Present
175,2010,3.0,Val Venosta,Agricaltural Lodging,1330,6205
176,2010,3.0,Alta Valle Isarco,1-2 Star Hotel,3913,14920
177,2010,3.0,Alta Valle Isarco,3 Star Hotel,10377,36218
178,2010,3.0,Alta Valle Isarco,4-5 Star Hotel,8775,38782
179,2010,3.0,Alta Valle Isarco,Other,674,3708
180,2010,3.0,Alta Valle Isarco,Campings,43,64
181,2010,3.0,Alta Valle Isarco,Private Lodging,498,3463
182,2010,3.0,Alta Valle Isarco,Residence,904,6530
183,2010,3.0,Alta Valle Isarco,Agricaltural Lodging,502,3296
184,2010,3.0,Oltradige-Bassa Ates.,1-2 Star Hotel,1510,8454
185,2010,3.0,Oltradige-Bassa Ates.,3 Star Hotel,8785,27812
186,2010,3.0,Oltradige-Bassa Ates.,4-5 Star Hotel,1368,3836
187,2010,3.0,Oltradige-Bassa Ates.,Other,191,623
188,2010,3.0,Oltradige-Bassa Ates.,Campings,526,2021
189,2010,3.0,Oltradige-Bassa Ates.,Private Lodging,248,3867
190,2010,3.0,Oltradige-Bassa Ates.,Residence,270,5662
191,2010,3.0,Oltradige-Bassa Ates.,Agricaltural Lodging,680,4936
192,2010,4.0,Bolzano,1-2 Star Hotel,1760,7868
193,2010,4.0,Bolzano,3 Star Hotel,7334,13985
194,2010,4.0,Bolzano,4-5 Star Hotel,8577,15906
195,2010,4.0,Bolzano,Other,868,1866
196,2010,4.0,Bolzano,Campings,742,3805
197,2010,4.0,Bolzano,Private Lodging,22,642
198,2010,4.0,Bolzano,Agricaltural Lodging,140,638
199,2010,4.0,Burgraviato,1-2 Star Hotel,6690,34603
200,2010,4.0,Burgraviato,3 Star Hotel,38977,184015
201,2010,4.0,Burgraviato,4-5 Star Hotel,39662,186554
202,2010,4.0,Burgraviato,Other,1068,4007
203,2010,4.0,Burgraviato,Campings,4622,27808
204,2010,4.0,Burgraviato,Private Lodging,3045,19485
205,2010,4.0,Burgraviato,Private Lodging,2,18
206,2010,4.0,Burgraviato,Residence,6661,47261
207,2010,4.0,Burgraviato,Agricaltural Lodging,4050,23762
208,2010,4.0,Valle Isarco,1-2 Star Hotel,2249,10943
209,2010,4.0,Valle Isarco,3 Star Hotel,11076,36904
210,2010,4.0,Valle Isarco,4-5 Star Hotel,6693,22062
211,2010,4.0,Valle Isarco,Other,1391,3181
212,2010,4.0,Valle Isarco,Campings,368,769
213,2010,4.0,Valle Isarco,Private Lodging,407,2728
214,2010,4.0,Valle Isarco,Residence,377,7106
215,2010,4.0,Valle Isarco,Agricaltural Lodging,807,4938
216,2010,4.0,Val Pusteria,1-2 Star Hotel,5173,30518
217,2010,4.0,Val Pusteria,3 Star Hotel,16559,84703
218,2010,4.0,Val Pusteria,4-5 Star Hotel,13799,66700
219,2010,4.0,Val Pusteria,Other,1371,3886
220,2010,4.0,Val Pusteria,Campings,1554,7666
221,2010,4.0,Val Pusteria,Private Lodging,1950,15123
222,2010,4.0,Val Pusteria,Private Lodging,154,1406
223,2010,4.0,Val Pusteria,Residence,3464,27565
224,2010,4.0,Val Pusteria,Agricaltural Lodging,1892,12534
225,2010,4.0,Salto-Sciliar,1-2 Star Hotel,1546,7593
226,2010,4.0,Salto-Sciliar,3 Star Hotel,8476,45032
227,2010,4.0,Salto-Sciliar,4-5 Star Hotel,8155,46346
228,2010,4.0,Salto-Sciliar,Other,550,1188
229,2010,4.0,Salto-Sciliar,Campings,272,1187
230,2010,4.0,Salto-Sciliar,Private Lodging,1312,11697
231,2010,4.0,Salto-Sciliar,Residence,1145,10374
232,2010,4.0,Salto-Sciliar,Agricaltural Lodging,965,6225
233,2010,4.0,Val Venosta,1-2 Star Hotel,2385,10674
234,2010,4.0,Val Venosta,3 Star Hotel,10531,48748
235,2010,4.0,Val Venosta,4-5 Star Hotel,6599,30014
236,2010,4.0,Val Venosta,Other,1330,3082
237,2010,4.0,Val Venosta,Campings,1629,7236
238,2010,4.0,Val Venosta,Private Lodging,1068,7074
239,2010,4.0,Val Venosta,Private Lodging,26,148
240,2010,4.0,Val Venosta,Residence,3392,21437
241,2010,4.0,Val Venosta,Agricaltural Lodging,1168,6328
242,2010,4.0,Alta Valle Isarco,1-2 Star Hotel,2123,5450
243,2010,4.0,Alta Valle Isarco,3 Star Hotel,6428,18008
244,2010,4.0,Alta Valle Isarco,4-5 Star Hotel,5632,19699
245,2010,4.0,Alta Valle Isarco,Other,291,1575
246,2010,4.0,Alta Valle Isarco,Campings,338,649
247,2010,4.0,Alta Valle Isarco,Private Lodging,223,2565
248,2010,4.0,Alta Valle Isarco,Residence,372,2981
249,2010,4.0,Alta Valle Isarco,Agricaltural Lodging,170,1771
250,2010,4.0,Oltradige-Bassa Ates.,1-2 Star Hotel,3016,11886
251,2010,4.0,Oltradige-Bassa Ates.,3 Star Hotel,18107,55729
252,2010,4.0,Oltradige-Bassa Ates.,4-5 Star Hotel,6567,26605
253,2010,4.0,Oltradige-Bassa Ates.,Other,200,556
254,2010,4.0,Oltradige-Bassa Ates.,Campings,2186,13335
255,2010,4.0,Oltradige-Bassa Ates.,Private Lodging,779,5517
256,2010,4.0,Oltradige-Bassa Ates.,Residence,895,8720
257,2010,4.0,Oltradige-Bassa Ates.,Agricaltural Lodging,2880,15094
258,2010,5.0,Bolzano,1-2 Star Hotel,1868,8572
259,2010,5.0,Bolzano,3 Star Hotel,7550,14244
260,2010,5.0,Bolzano,4-5 Star Hotel,11242,20291
261,2010,5.0,Bolzano,Other,1047,2075
262,2010,5.0,Bolzano,Campings,980,4268
263,2010,5.0,Bolzano,Private Lodging,19,679
264,2010,5.0,Bolzano,Agricaltural Lodging,183,723
265,2010,5.0,Burgraviato,1-2 Star Hotel,9529,48460
266,2010,5.0,Burgraviato,3 Star Hotel,50641,240237
267,2010,5.0,Burgraviato,4-5 Star Hotel,47907,222612
268,2010,5.0,Burgraviato,Other,1047,2179
269,2010,5.0,Burgraviato,Campings,6584,35455
270,2010,5.0,Burgraviato,Private Lodging,4520,28161
271,2010,5.0,Burgraviato,Private Lodging,39,251
272,2010,5.0,Burgraviato,Residence,9997,66358
273,2010,5.0,Burgraviato,Agricaltural Lodging,6331,36612
274,2010,5.0,Valle Isarco,1-2 Star Hotel,3815,13624
275,2010,5.0,Valle Isarco,3 Star Hotel,16258,58682
276,2010,5.0,Valle Isarco,4-5 Star Hotel,10483,35805
277,2010,5.0,Valle Isarco,Other,1937,3993
278,2010,5.0,Valle Isarco,Campings,1083,1842
279,2010,5.0,Valle Isarco,Private Lodging,628,3432
280,2010,5.0,Valle Isarco,Residence,660,8265
281,2010,5.0,Valle Isarco,Agricaltural Lodging,2024,9320
282,2010,5.0,Val Pusteria,1-2 Star Hotel,4308,14855
283,2010,5.0,Val Pusteria,3 Star Hotel,15955,46347
284,2010,5.0,Val Pusteria,4-5 Star Hotel,13872,46394
285,2010,5.0,Val Pusteria,Other,1370,3074
286,2010,5.0,Val Pusteria,Campings,2423,10461
287,2010,5.0,Val Pusteria,Private Lodging,979,5233
288,2010,5.0,Val Pusteria,Private Lodging,27,124
289,2010,5.0,Val Pusteria,Residence,2259,10650
290,2010,5.0,Val Pusteria,Agricaltural Lodging,2304,11640
291,2010,5.0,Salto-Sciliar,1-2 Star Hotel,1743,7285
292,2010,5.0,Salto-Sciliar,3 Star Hotel,10483,39615
293,2010,5.0,Salto-Sciliar,4-5 Star Hotel,10237,37878
294,2010,5.0,Salto-Sciliar,Other,738,1789
295,2010,5.0,Salto-Sciliar,Campings,945,3544
296,2010,5.0,Salto-Sciliar,Private Lodging,1015,4838
297,2010,5.0,Salto-Sciliar,Residence,1333,7058
298,2010,5.0,Salto-Sciliar,Agricaltural Lodging,2126,10791
299,2010,5.0,Val Venosta,1-2 Star Hotel,2500,8859
300,2010,5.0,Val Venosta,3 Star Hotel,8761,28999
301,2010,5.0,Val Venosta,4-5 Star Hotel,5126,19767
302,2010,5.0,Val Venosta,Other,176,648
303,2010,5.0,Val Venosta,Campings,3981,14529
304,2010,5.0,Val Venosta,Private Lodging,823,3465
305,2010,5.0,Val Venosta,Residence,1509,8300
306,2010,5.0,Val Venosta,Agricaltural Lodging,1620,7830
